Item Name,Item Description,Item Selling Price,Item Stock level,Item manufacturer
Basil - Seedlings Cookstown,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,50.08,54,Tambee
Island Oasis - Sweet And Sour Mix,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,39.85,52,Divavu
"Fish - Soup Base, Bouillon",and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,80.6,8,Ailane
Bandage - Fexible 1x3,but also the leap into electronic typesetting,32.66,91,Avamm
Juice - Lime,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,84.67,59,Roombo
Soup V8 Roasted Red Pepper,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,12.41,82,Riffwire
Magnotta Bel Paese Red,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,6.34,5,Kamba
Longos - Chicken Cordon Bleu,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,20.62,21,Mymm
Sorrel - Fresh,but also the leap into electronic typesetting,80.02,54,Dabfeed
Wine - Maipo Valle Cabernet,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,54.43,93,Jabberbean
Bar Nature Valley,and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.,43.91,99,Dablist
Bread - Rosemary Focaccia,remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages,73.71,57,Yadel
Oysters - Smoked,when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries,71.56,46,Zoovu
Napkin White - Starched,Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,30.18,57,Dabfeed
"Sauce - Soya, Light",Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s,12.57,80,Wikizz
Egg,This is an Egg,4.0,2000,Egg's Factory 
